_RAJ2000,_DEJ2000,recno,ATLAS,RAJ2000,DEJ2000,Pwd,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,MJD,pmRA,e_pmRA,pmDE,e_pmDE,HClass,SpType1,SpType2,Gaia-ID,Gmag,u_sdss,g_SDSS,r_sdss,i_sdss,z_SDSS,roundra
2.747277,-38.115996,175,J001059.34-380657.58,2.747277,-38.115996,0.995964,16.371908,0.00505,16.780725,0.00238,17.199936,0.00324,17.499044,0.00705,17.724331,0.01555,56514.275283,-48.2,13.8,-40.2,6.1,,,,,,16.63781983,16.69976445,17.22235967,17.474044,17.77334248,2.747277
8.603487,-30.856769,646,J003424.83-305124.36,8.603487,-30.856769,0.828452,16.150532,0.00387,16.84412,0.00213,17.358459,0.00329,17.668072,0.00544,17.918446,0.01772,55836.240578,-21.4,4.6,-22.1,3.8,,WD*,DA...,2.3175535296E18,17.005,16.41359612,16.75840305,17.37802883,17.643072,17.96846096,8.603487
8.657674,-27.472356,650,J003437.84-272820.48,8.657674,-27.472356,0.935056,15.845199,0.00384,16.205902,0.00175,16.594704,0.00266,16.966454,0.00392,17.192848,0.01081,55882.165342,34.2,2.2,-36.9,1.8,,PM*,~,2.3433550474200003E18,16.521,16.11159197,16.1264619,16.61803994,16.941454,17.24190376,8.657674
8.830865,-38.748695,667,J003519.40-384455.30,8.830865,-38.748695,1.0,17.151659,0.00707,17.092146,0.00289,17.444597,0.00385,17.693478,0.00609,18.013124,0.0244,56516.356834,-40.0,0.3,-75.3,1.8,,,,,,17.42225413,17.01452345,17.46902347,17.668478,18.06590984,8.830865
9.058162,-34.393117,680,J003613.95-342335.22,9.058162,-34.393117,0.999843,16.230055,0.00433,16.326746,0.00175,16.610424,0.00255,16.887794,0.0042,17.051857,0.00985,56152.271352,97.8,4.1,16.3,4.8,,WD*,DA...,5.0053612089499996E18,15.505,16.49908809,16.2525621,16.63691366,16.862794,17.09841952,9.058162
11.636142,-31.326071,814,J004632.67-311933.85,11.636142,-31.326071,0.977568,16.671968,0.00516,16.979685,0.00221,17.303154,0.00418,17.605486,0.00507,17.784073,0.01463,55834.301071,38.0,6.9,-1.6,6.9,,,,5.0076779486700001E18,17.072,16.93889083,16.90351155,17.32844993,17.580486,17.83121648,11.636142
12.769485,-29.078057,880,J005104.67-290441.00,12.769485,-29.078057,0.995299,16.866158,0.00645,17.128492,0.00239,17.463451,0.00339,17.746269,0.00592,17.953621,0.01469,56102.402655,29.9,1.2,-32.0,6.3,,*,~,,,17.13353466,17.05174405,17.48840223,17.721269,18.00191508,12.769485
13.205467,-26.638725,912,J005249.31-263819.41,13.205467,-26.638725,0.984144,17.001873,0.00709,16.95759,0.00256,17.347231,0.00342,17.595568,0.00594,17.756384,0.01658,56217.105284,8.8,10.7,46.5,27.7,,,,2.3429028432E18,17.06,17.27231583,16.87810795,17.37054177,17.570568,17.80281664,13.205467
14.459514,-39.184608,993,J005750.28-391104.58,14.459514,-39.184608,0.931708,16.88657,0.0077,17.073317,0.00255,17.381081,0.00366,17.62443,0.00658,17.831694,0.01593,56537.313924,28.6,18.7,2.4,15.6,,*,~,,,17.15470253,16.9979288,17.40684808,17.59943,17.87998456,14.459514
14.827343,-33.576019,1017,J005918.56-333433.66,14.827343,-33.576019,0.984203,17.005215,0.00651,16.91094,0.0029,17.231016,0.00378,17.447254,0.00554,17.500389,0.01693,56217.152908,-7.0,5.0,55.9,52.2,,*,~,,,17.27615775,16.8349362,17.25641372,17.422254,17.5425144,14.827343
16.378313,-32.631561,1123,J010530.79-323753.61,16.378313,-32.631561,0.99848,16.208067,0.00484,16.108318,0.00182,16.360947,0.00216,16.57971,0.00317,16.727232,0.00703,56215.091919,75.4,6.4,55.5,3.4,,PM*,~,,,16.47906449,16.03568655,16.38836813,16.55471,16.77313288,16.378313
16.966132,-33.813396,1156,J010751.87-334848.22,16.966132,-33.813396,0.998456,16.501629,0.00507,16.660799,0.00217,16.998833,0.00291,17.235155,0.00476,17.417999,0.0155,56217.158219,-69.4,45.0,-59.1,47.7,,WD?,~,,,16.7700373,16.5838973,17.02369198,17.210155,17.46531276,16.966132
17.040913,-16.312464,1161,J010809.81-161844.87,17.040913,-16.312464,0.988372,16.214762,0.00483,16.745211,0.00207,17.214239,0.00337,17.501993,0.00534,17.727865,0.01524,56901.283896,13.8,4.3,-50.5,2.2,,WD*,DA...,,,16.47945751,16.6617596,17.23516816,17.476993,17.77689988,17.040913
17.150198,-32.628808,1171,J010836.04-323743.70,17.150198,-32.628808,0.759997,15.220312,0.00276,15.293153,0.00121,15.619215,0.00146,15.840394,0.00197,16.024254,0.00415,56215.094366,24.0,3.2,-26.7,2.7,,*,~,,,15.48958359,15.2168499,15.64443314,15.815394,16.0716084,17.150198
19.523757,-25.508476,1306,J011805.70-253030.51,19.523757,-25.508476,0.999687,16.79241,0.00581,16.763113,0.00227,17.067633,0.00336,17.275974,0.00488,17.470453,0.01364,55941.05129,76.0,2.5,7.4,1.7,,WD*,DA3.2,,,17.06270297,16.687887,17.0934974,17.250974,17.51823216,19.523757
20.244938,-16.379762,1352,J012058.78-162247.14,20.244938,-16.379762,0.915197,15.747773,0.00378,15.732635,0.00126,16.024958,0.00178,16.279444,0.00247,16.37801,0.00596,56901.290816,-2.6,4.6,-49.9,2.8,,WD*,DA3.6,2.4545075984499999E18,15.868,16.01792438,15.65801885,16.05118831,16.254444,16.42195264,20.244938
21.733145,-25.514967,1449,J012655.95-253053.88,21.733145,-25.514967,0.999915,15.749732,0.00335,16.118235,0.00167,16.590662,0.0025,16.817093,0.0037,17.05871,0.01029,55941.056234,66.8,2.1,-89.6,4.6,,WD*,DA2.0,,,16.01604697,16.03461365,16.61148919,16.792093,17.10837468,21.733145
23.287989,-27.095843,1552,J013309.11-270545.03,23.287989,-27.095843,0.997108,15.905859,0.00354,16.283972,0.0018,16.610212,0.00211,16.911098,0.00332,17.115158,0.01088,55890.205317,29.4,2.3,-59.4,1.9,,WD*,DA2.2,,,16.17207787,16.20766,16.6354248,16.886098,17.1633204,23.287989
23.456568,-39.162238,1560,J013349.57-390944.05,23.456568,-39.162238,0.989338,16.642849,0.00644,17.082882,0.00264,17.416639,0.00337,17.563791,0.00738,17.894709,0.01693,56537.340899,-28.4,3.9,-28.5,6.0,,,,5.0088567282099999E18,17.263,16.90844867,17.00619415,17.44162629,17.538791,17.94794572,23.456568
23.8182,-38.526048,1584,J013516.36-383133.77,23.8182,-38.526048,0.881794,16.263308,0.00467,16.302153,0.0017,16.621943,0.00248,16.844326,0.00356,17.476021,0.01646,56516.384954,46.5,2.1,-7.9,3.9,,WD*,DA...,5.0089927584199997E18,16.464,16.53291955,16.2261635,16.6473493,16.819326,17.5412888,23.8182
24.928415,-34.711077,1658,J013942.81-344239.87,24.928415,-34.711077,0.937139,15.106803,0.00327,15.174137,0.00111,15.573277,0.00163,15.803016,0.00189,15.989528,0.00471,56239.130503,-30.3,3.0,-60.1,11.8,,WD*,DA,,,15.37612966,15.09418,15.5963028,15.778016,16.03698848,24.928415
25.045736,-39.990379,1662,J014010.97-395925.36,25.045736,-39.990379,0.976522,15.885571,0.00438,16.185806,0.00167,16.567612,0.00219,16.72373,0.00424,17.025564,0.00857,56537.343085,-0.2,1.0,-52.1,3.9,,WD*,DA2,4.9604990385900001E18,16.362,16.15256865,16.1067157,16.59115782,16.69873,17.07763736,25.045736
25.070114,-28.881524,1664,J014016.82-285253.48,25.070114,-28.881524,0.960844,15.844381,0.00358,16.143049,0.00156,16.542025,0.00213,16.812637,0.00355,17.041025,0.00719,55832.340093,51.2,3.3,-1.4,5.7,,WD*,DA2,5.0233336542200003E18,16.347,16.11139432,16.0631002,16.56505572,16.787637,17.09016052,25.070114
25.713183,-38.984889,1710,J014251.16-385905.60,25.713183,-38.984889,0.950068,13.871428,0.00145,14.197542,6.2E-4,14.575204,9.1E-4,14.837229,0.00118,15.44698,0.0043,56516.387136,149.1,5.1,50.5,4.7,,WD*,DA2.1,4.9621933860100004E18,14.427,14.13816686,14.1186589,14.59887414,14.812229,15.51137004,25.713183
25.766482,-28.127077,1715,J014303.95-280737.47,25.766482,-28.127077,0.993358,16.611082,0.00537,16.729866,0.00204,17.005024,0.00272,17.221432,0.00458,17.456339,0.00956,55832.340093,57.5,3.6,12.0,2.7,,,,5.0236629235899996E18,16.757,16.87989416,16.6561081,17.03176926,17.196432,17.50573528,25.766482
26.766551,-16.751358,1757,J014703.97-164504.88,26.766551,-16.751358,0.997054,16.36533,0.0051,16.706768,0.00213,17.067947,0.00315,17.337914,0.00437,17.611898,0.01338,56901.306643,-2.7,2.8,-57.3,3.0,,,,,,16.63191562,16.62870905,17.09211163,17.312914,17.66285736,26.766551
31.71638,-27.604684,1984,J020651.93-273616.86,31.71638,-27.604684,0.992804,16.570183,0.00576,16.603462,0.00224,16.907848,0.0026,17.16403,0.00414,17.366486,0.01293,55890.226177,0.7,1.4,-54.2,1.2,,*,~,,,16.83985021,16.5282427,16.93371642,17.13903,17.41458424,31.71638
31.920376,-30.182785,1993,J020740.89-301058.02,31.920376,-30.182785,0.999976,15.566884,0.00295,15.651721,0.00117,15.96271,0.00167,16.189312,0.00228,16.424574,0.00605,55833.341829,163.5,1.9,-26.1,2.5,,WD*,DA2.8,5.0201466166899999E18,15.804,15.83603563,15.57617155,15.98838033,16.164312,16.47398448,31.920376
32.744549,-26.116875,2032,J021058.69-260700.75,32.744549,-26.116875,0.965906,15.797254,0.00336,16.443451,0.00198,16.863777,0.00252,17.173075,0.00383,17.443199,0.01109,55885.241745,47.5,4.4,26.5,14.4,,WD*,DA1.5,5.1181332761799997E18,16.554,16.06079203,16.3624347,16.88616722,17.148075,17.49400396,32.744549
33.413902,-27.89785,2073,J021339.33-275352.26,33.413902,-27.89785,0.92721,16.816469,0.00648,17.069435,0.00273,17.444185,0.00335,17.705767,0.00575,17.88203,0.02054,55890.231035,25.2,2.3,7.5,2.6,,,,5.1166083867000003E18,17.269,17.08393934,16.9906975,17.4679425,17.680767,17.92908052,33.413902
33.486138,-28.172854,2077,J021356.67-281022.27,33.486138,-28.172854,0.992058,15.285279,0.00261,15.22392,0.00103,15.487175,0.00128,15.692471,0.00191,15.888433,0.00352,55832.354971,26.7,7.1,-117.7,6.0,,WD*,~,,,15.55589259,15.15075725,15.51427735,15.667471,15.93627148,33.486138
34.623276,-14.081293,2146,J021829.58-140452.65,34.623276,-14.081293,0.924421,15.70722,0.00346,16.172113,0.00172,16.582314,0.00238,16.885118,0.00327,17.114216,0.01074,55895.187273,30.1,2.2,33.4,3.6,,,,5.1468925447000003E18,15.171,15.97257107,16.09160295,16.60500797,16.860118,17.16337992,34.623276
34.820139,-28.082605,2155,J021916.83-280457.37,34.820139,-28.082605,0.936783,16.166597,0.00467,16.84074,0.00229,17.250031,0.00298,17.618399,0.00509,17.832413,0.02124,55890.233443,36.0,4.0,-13.4,3.4,,,,,,16.42985557,16.76027545,17.27275227,17.593399,17.88097356,34.820139
35.872648,-26.489067,2222,J022329.43-262920.64,35.872648,-26.489067,0.760718,15.065636,0.00249,15.668316,0.00144,16.135899,0.00188,16.43063,0.00262,16.701204,0.00725,55885.24887,7.1,1.6,-41.6,3.3,,WD*,~,,,15.3296092,15.58493685,16.15687151,16.40563,16.75202696,35.872648
