_RAJ2000,_DEJ2000,recno,ATLAS,RAJ2000,DEJ2000,Pwd,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,MJD,pmRA,e_pmRA,pmDE,e_pmDE,HClass,SpType1,SpType2,Gaia-ID,Gmag,u_sdss,g_SDSS,r_sdss,i_sdss,z_SDSS,roundra
0.817351,-37.14293,55,J000316.16-370834.54,0.817351,-37.14293,0.979042,18.394371,0.01829,18.812061,0.00656,19.115646,0.01261,19.363047,0.02125,19.546524,0.06352,56540.222739,5.9,6.0,-18.1,5.1,,,,,,18.6601941,18.73688175,19.14153845,19.338047,19.59386308,0.817351
1.462037,-39.630116,96,J000550.88-393748.41,1.462037,-39.630116,0.741657,18.198,0.01257,18.458769,0.00588,18.838106,0.00847,19.103741,0.02048,19.364178,0.079,56124.298743,8.9,6.0,2.5,5.3,,,,,,18.46539231,18.37980215,18.86172589,19.078741,19.41459548,1.462037
2.747277,-38.115996,175,J001059.34-380657.58,2.747277,-38.115996,0.995964,16.371908,0.00505,16.780725,0.00238,17.199936,0.00324,17.499044,0.00705,17.724331,0.01555,56514.275283,-48.2,13.8,-40.2,6.1,,,,,,16.63781983,16.69976445,17.22235967,17.474044,17.77334248,2.747277
2.870138,-33.997619,182,J001128.83-335951.42,2.870138,-33.997619,0.963741,17.599579,0.00888,17.925879,0.00395,18.263777,0.00571,18.540121,0.01358,18.773006,0.04154,56217.122405,-25.3,8.8,2.0,6.2,,,,2.31021006324e+18,16.961,17.866316,17.8489841,18.28864006,18.515121,18.8223214,2.870138
3.231384,-31.407685,208,J001255.53-312427.66,3.231384,-31.407685,0.996801,18.906778,0.02134,18.831831,0.00632,19.111959,0.01262,19.335926,0.01806,19.581753,0.07315,55834.286279,33.7,4.9,24.9,2.0,,,,,,19.17752747,18.7578246,19.13855516,19.310926,19.63158608,3.231384
3.357313,-28.946602,217,J001325.75-285647.76,3.357313,-28.946602,0.998624,18.832548,0.01748,18.985329,0.00685,19.259207,0.01169,19.468885,0.01857,19.865938,0.08543,56183.156143,23.1,2.8,-3.5,2.2,,WD*,DA,2.32120761906e+18,18.474,19.10102019,18.9116351,19.28599066,19.443885,19.92182012,3.357313
3.636038,-39.858133,237,J001432.64-395129.27,3.636038,-39.858133,0.991927,18.384895,0.01587,18.658216,0.00644,19.016712,0.00961,19.337198,0.02522,19.622889,0.11034,56124.303785,28.4,14.4,-11.1,3.9,,,,,,18.65216179,18.5802912,19.04095712,19.312198,19.67431664,3.636038
3.88882,-28.45269,266,J001533.31-282709.68,3.88882,-28.45269,0.998275,17.137072,0.00638,17.22225,0.00282,17.556829,0.00398,17.772427,0.00558,17.972267,0.01831,56183.158693,50.2,1.8,-0.2,2.5,,,,,,17.40622022,17.14552105,17.58179163,17.747427,18.0202606,3.88882
4.02582,-29.822135,279,J001606.19-294919.68,4.02582,-29.822135,0.879626,17.976437,0.01222,18.04368,0.004,18.300341,0.00541,18.525206,0.00955,18.722267,0.02834,56102.377978,0.2,3.9,-15.5,7.6,,,,,,18.24576457,17.97084695,18.32764117,18.500206,18.77014944,4.02582
4.072291,-37.874895,284,J001617.34-375229.62,4.072291,-37.874895,0.998267,17.527811,0.01057,17.901806,0.00402,18.30378,0.00737,18.553648,0.01097,18.860943,0.03388,56540.227114,11.9,10.2,-39.3,6.5,,,,,,17.79407105,17.8217073,18.32672078,18.528648,18.9132348,4.072291
4.21443,-34.59614,298,J001651.46-343546.10,4.21443,-34.59614,0.956641,17.761961,0.01001,17.767063,0.00376,18.112736,0.00556,18.350948,0.00981,18.569637,0.03482,56152.261052,7.4,8.8,22.7,6.2,,,,,,18.03190998,17.68977935,18.13736581,18.325948,18.61838456,4.21443
4.573259,-39.396884,327,J001817.58-392348.78,4.573259,-39.396884,0.999891,17.281948,0.00808,17.2617,0.00303,17.551708,0.00397,17.780228,0.00727,17.957376,0.02697,56124.306272,68.2,2.2,-4.0,2.5,,,,,,17.55215048,17.1871996,17.57800776,17.755228,18.00446192,4.573259
4.994105,-37.133633,364,J001958.58-370801.07,4.994105,-37.133633,0.781181,17.866739,0.01165,18.184254,0.00447,18.561901,0.00631,18.811094,0.01863,18.923412,0.03793,57013.044916,10.1,6.1,-2.5,2.6,,,,,,18.13356385,18.10537165,18.58557159,18.786094,18.96790472,4.994105
5.031095,-27.138459,366,J002007.46-270818.45,5.031095,-27.138459,0.955236,17.96176,0.01244,18.346949,0.00485,18.726488,0.00872,19.059393,0.01777,19.203295,0.05911,55882.157942,-11.3,2.3,-13.8,2.1,,,,2.32298023796e+18,18.276,18.22790811,18.26797205,18.75010183,19.034393,19.24905108,5.031095
5.235541,-26.377754,387,J002056.52-262239.91,5.235541,-26.377754,0.998535,18.427322,0.01536,18.387091,0.00487,18.674116,0.0076,18.928885,0.01457,19.116232,0.04919,56217.084886,30.5,6.5,17.1,3.8,,,,2.32339894573e+18,18.5,18.69772431,18.31273975,18.70050525,18.903885,19.16372588,5.235541
