Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ000022.5-105142,0.0937,-10.8616,1987.631,46.0,-23.0,19.093,18.688,18.536,150.8,36.8,12.8,1.0,150.3,36.6,12.8,0.0
SSSJ000034.0-052922,0.1415,-5.4895,1989.894,88.4,-16.2,17.133,17.062,17.062,121.2,51.7,10.9,1.0,114.4,48.8,11.1,0.0
SSSJ000053.1-465220,0.2214,-46.8722,1991.348,55.3,-26.9,18.725,17.989,17.787,77.2,22.5,13.8,1.0,77.7,22.7,13.8,0.0
SSSJ000115.7+401037,0.3154,40.1769,1989.761,100.5,-50.6,19.242,18.884,19.027,228.8,122.5,11.9,1.0,214.2,114.7,12.0,0.0
SSSJ000122.3+183255,0.3428,18.5485,1989.241,73.3,-29.6,18.319,18.181,18.106,178.7,66.9,11.5,1.0,166.6,62.4,11.7,0.0
SSSJ000123.3-111156,0.3469,-11.1988,1999.61,92.3,-115.6,18.763,18.086,17.941,88.2,61.8,13.6,1.0,88.8,62.3,13.6,0.0
SSSJ000136.1-374710,0.4005,-37.786,1996.867,94.3,-11.6,18.222,18.165,17.845,153.5,69.1,11.8,1.0,144.8,65.2,11.9,0.0
SSSJ000137.6+323655,0.4065,32.6152,1989.828,-75.7,-74.5,17.554,17.644,17.581,174.3,87.6,10.1,1.0,170.5,85.7,10.4,0.0
SSSJ000154.8+452034,0.4784,45.3427,1989.678,236.1,-31.1,18.27,17.755,17.51,80.9,91.3,13.3,1.0,81.3,91.8,13.3,0.0
SSSJ000156.3-561722,0.4844,-56.2895,1996.836,-86.7,-34.9,18.604,18.25,17.943,113.3,49.9,12.9,1.0,113.2,49.9,13.0,0.0
SSSJ000215.4+073400,0.5644,7.5667,1991.7,-97.9,-83.3,17.935,17.528,17.626,113.1,69.1,12.2,1.0,108.7,66.4,12.3,0.0
SSSJ000216.3+073351,0.5677,7.5642,1991.7,-98.1,-86.9,18.157,17.858,17.588,103.9,64.5,12.6,1.0,103.0,64.0,12.7,0.0
SSSJ000222.9+205823,0.5953,20.9731,1991.772,210.6,-19.9,19.264,18.734,18.806,163.8,164.6,12.7,1.0,162.2,163.0,12.8,0.0
SSSJ000224.2-172705,0.6007,-17.4515,1997.661,-69.5,-48.9,17.457,17.364,17.325,132.4,53.3,11.2,1.0,124.1,50.0,11.3,0.0
SSSJ000232.1-311344,0.6339,-31.2288,1990.796,85.9,5.4,20.964,19.509,18.344,46.5,19.0,16.4,0.38,61.3,25.0,15.5,0.62
SSSJ000232.2-321147,0.634,-32.1964,1990.796,263.9,-86.1,16.412,16.588,16.685,141.5,186.5,8.7,1.0,152.9,201.5,8.6,0.0
SSSJ000234.9+172720,0.6454,17.4556,1995.589,67.0,-71.3,16.022,16.45,16.446,188.3,87.5,6.8,1.0,163.3,75.8,7.0,0.0
SSSJ000247.0+042859,0.6958,4.483,1989.219,-51.5,3.8,18.223,18.125,18.24,209.3,51.3,10.6,1.0,200.1,49.0,10.9,0.0
SSSJ000249.1+164348,0.7045,16.73,1995.589,94.7,-83.2,18.808,18.834,18.911,319.5,190.8,10.0,1.0,313.7,187.3,10.3,0.0
SSSJ000253.0+422348,0.7209,42.3967,1987.458,-75.7,-11.5,17.528,17.415,17.213,114.5,41.5,11.7,1.0,107.3,38.9,11.9,0.0
